2019-08-17 14:20:10.594 [main] INFO  o.a.d.s.b.c.event.WelcomeLogoApplicationListener - 
2019-08-17 14:20:24.762 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.class.path=D:\jdk8\jdk1.8.0_171\jre\lib\US_export_policy.jar;D:\jdk8\jdk1.8.0_171\jre\lib\charsets.jar;D:\jdk8\jdk1.8.0_171\jre\lib\deploy.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\access-bridge-64.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\cldrdata.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\dnsns.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\jaccess.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\jfxrt.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\localedata.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\nashorn.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\sunec.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\sunjce_provider.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\sunmscapi.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\sunpkcs11.jar;D:\jdk8\jdk1.8.0_171\jre\lib\ext\zipfs.jar;D:\jdk8\jdk1.8.0_171\jre\lib\javaws.jar;D:\jdk8\jdk1.8.0_171\jre\lib\jce.jar;D:\jdk8\jdk1.8.0_171\jre\lib\jfr.jar;D:\jdk8\jdk1.8.0_171\jre\lib\jfxswt.jar;D:\jdk8\jdk1.8.0_171\jre\lib\jsse.jar;D:\jdk8\jdk1.8.0_171\jre\lib\local_policy.jar;D:\jdk8\jdk1.8.0_171\jre\lib\management-agent.jar;D:\jdk8\jdk1.8.0_171\jre\lib\plugin.jar;D:\jdk8\jdk1.8.0_171\jre\lib\resources.jar;D:\jdk8\jdk1.8.0_171\jre\lib\rt.jar;D:\IDEA-Workspace\ego_parent\ego_manage\target\classes;D:\IDEA-Workspace\ego_parent\ego_service\target\classes;D:\IDEA-Workspace\ego_parent\ego_pojo\target\classes;D:\IDEA-Workspace\ego_parent\ego_commons\target\classes;D:\maven\r2\myrepository\commons-net\commons-net\3.6\commons-net-3.6.jar;D:\maven\r2\myrepository\org\apache\httpcomponents\httpclient\4.5.9\httpclient-4.5.9.jar;D:\maven\r2\myrepository\org\apache\httpcomponents\httpcore\4.4.11\httpcore-4.4.11.jar;D:\maven\r2\myrepository\commons-logging\commons-logging\1.2\commons-logging-1.2.jar;D:\maven\r2\myrepository\commons-codec\commons-codec\1.11\commons-codec-1.11.jar;D:\maven\r2\myrepository\com\github\pagehelper\pagehelper-spring-boot-starter\1.2.12\pagehelper-spring-boot-starter-1.2.12.jar;D:\maven\r2\myrepository\org\mybatis\spring\boot\mybatis-spring-boot-starter\2.1.0\mybatis-spring-boot-starter-2.1.0.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-jdbc\2.1.6.RELEASE\spring-boot-starter-jdbc-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\com\zaxxer\HikariCP\3.2.0\HikariCP-3.2.0.jar;D:\maven\r2\myrepository\org\springframework\spring-jdbc\5.1.8.RELEASE\spring-jdbc-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\mybatis\spring\boot\mybatis-spring-boot-autoconfigure\2.1.0\mybatis-spring-boot-autoconfigure-2.1.0.jar;D:\maven\r2\myrepository\org\mybatis\mybatis\3.5.2\mybatis-3.5.2.jar;D:\maven\r2\myrepository\org\mybatis\mybatis-spring\2.0.2\mybatis-spring-2.0.2.jar;D:\maven\r2\myrepository\com\github\pagehelper\pagehelper-spring-boot-autoconfigure\1.2.12\pagehelper-spring-boot-autoconfigure-1.2.12.jar;D:\maven\r2\myrepository\com\github\pagehelper\pagehelper\5.1.10\pagehelper-5.1.10.jar;D:\maven\r2\myrepository\com\github\jsqlparser\jsqlparser\2.0\jsqlparser-2.0.jar;D:\maven\r2\myrepository\javax\servlet\jstl\1.2\jstl-1.2.jar;D:\maven\r2\myrepository\org\apache\tomcat\embed\tomcat-embed-jasper\9.0.21\tomcat-embed-jasper-9.0.21.jar;D:\maven\r2\myrepository\org\apache\tomcat\embed\tomcat-embed-core\9.0.21\tomcat-embed-core-9.0.21.jar;D:\maven\r2\myrepository\org\apache\tomcat\tomcat-annotations-api\9.0.21\tomcat-annotations-api-9.0.21.jar;D:\maven\r2\myrepository\org\apache\tomcat\embed\tomcat-embed-el\9.0.21\tomcat-embed-el-9.0.21.jar;D:\maven\r2\myrepository\org\eclipse\jdt\ecj\3.16.0\ecj-3.16.0.jar;D:\IDEA-Workspace\ego_parent\ego_redis\target\classes;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-data-redis\2.1.6.RELEASE\spring-boot-starter-data-redis-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\data\spring-data-redis\2.1.9.RELEASE\spring-data-redis-2.1.9.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\data\spring-data-keyvalue\2.1.9.RELEASE\spring-data-keyvalue-2.1.9.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\data\spring-data-commons\2.1.9.RELEASE\spring-data-commons-2.1.9.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-tx\5.1.8.RELEASE\spring-tx-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-oxm\5.1.8.RELEASE\spring-oxm-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-context-support\5.1.8.RELEASE\spring-context-support-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\io\lettuce\lettuce-core\5.1.7.RELEASE\lettuce-core-5.1.7.RELEASE.jar;D:\maven\r2\myrepository\io\netty\netty-common\4.1.36.Final\netty-common-4.1.36.Final.jar;D:\maven\r2\myrepository\io\netty\netty-handler\4.1.36.Final\netty-handler-4.1.36.Final.jar;D:\maven\r2\myrepository\io\netty\netty-buffer\4.1.36.Final\netty-buffer-4.1.36.Final.jar;D:\maven\r2\myrepository\io\netty\netty-codec\4.1.36.Final\netty-codec-4.1.36.Final.jar;D:\maven\r2\myrepository\io\netty\netty-transport\4.1.36.Final\netty-transport-4.1.36.Final.jar;D:\maven\r2\myrepository\io\netty\netty-resolver\4.1.36.Final\netty-resolver-4.1.36.Final.jar;D:\maven\r2\myrepository\io\projectreactor\reactor-core\3.2.10.RELEASE\reactor-core-3.2.10.RELEASE.jar;D:\maven\r2\myrepository\org\reactivestreams\reactive-streams\1.0.2\reactive-streams-1.0.2.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-web\2.1.6.RELEASE\spring-boot-starter-web-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter\2.1.6.RELEASE\spring-boot-starter-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot\2.1.6.RELEASE\spring-boot-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-autoconfigure\2.1.6.RELEASE\spring-boot-autoconfigure-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-logging\2.1.6.RELEASE\spring-boot-starter-logging-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\ch\qos\logback\logback-classic\1.2.3\logback-classic-1.2.3.jar;D:\maven\r2\myrepository\ch\qos\logback\logback-core\1.2.3\logback-core-1.2.3.jar;D:\maven\r2\myrepository\org\apache\logging\log4j\log4j-to-slf4j\2.11.2\log4j-to-slf4j-2.11.2.jar;D:\maven\r2\myrepository\org\apache\logging\log4j\log4j-api\2.11.2\log4j-api-2.11.2.jar;D:\maven\r2\myrepository\org\slf4j\jul-to-slf4j\1.7.26\jul-to-slf4j-1.7.26.jar;D:\maven\r2\myrepository\javax\annotation\javax.annotation-api\1.3.2\javax.annotation-api-1.3.2.jar;D:\maven\r2\myrepository\org\springframework\spring-core\5.1.8.RELEASE\spring-core-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-jcl\5.1.8.RELEASE\spring-jcl-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-json\2.1.6.RELEASE\spring-boot-starter-json-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\core\jackson-databind\2.9.9\jackson-databind-2.9.9.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\core\jackson-annotations\2.9.0\jackson-annotations-2.9.0.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\core\jackson-core\2.9.9\jackson-core-2.9.9.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\datatype\jackson-datatype-jdk8\2.9.9\jackson-datatype-jdk8-2.9.9.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\datatype\jackson-datatype-jsr310\2.9.9\jackson-datatype-jsr310-2.9.9.jar;D:\maven\r2\myrepository\com\fasterxml\jackson\module\jackson-module-parameter-names\2.9.9\jackson-module-parameter-names-2.9.9.jar;D:\maven\r2\myrepository\org\springframework\boot\spring-boot-starter-tomcat\2.1.6.RELEASE\spring-boot-starter-tomcat-2.1.6.RELEASE.jar;D:\maven\r2\myrepository\org\apache\tomcat\embed\tomcat-embed-websocket\9.0.21\tomcat-embed-websocket-9.0.21.jar;D:\maven\r2\myrepository\org\hibernate\validator\hibernate-validator\6.0.17.Final\hibernate-validator-6.0.17.Final.jar;D:\maven\r2\myrepository\javax\validation\validation-api\2.0.1.Final\validation-api-2.0.1.Final.jar;D:\maven\r2\myrepository\org\jboss\logging\jboss-logging\3.3.2.Final\jboss-logging-3.3.2.Final.jar;D:\maven\r2\myrepository\com\fasterxml\classmate\1.4.0\classmate-1.4.0.jar;D:\maven\r2\myrepository\org\springframework\spring-web\5.1.8.RELEASE\spring-web-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-beans\5.1.8.RELEASE\spring-beans-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-webmvc\5.1.8.RELEASE\spring-webmvc-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-aop\5.1.8.RELEASE\spring-aop-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\springframework\spring-expression\5.1.8.RELEASE\spring-expression-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\apache\dubbo\dubbo-spring-boot-starter\2.7.1\dubbo-spring-boot-starter-2.7.1.jar;D:\maven\r2\myrepository\org\apache\dubbo\dubbo-spring-boot-autoconfigure\2.7.1\dubbo-spring-boot-autoconfigure-2.7.1.jar;D:\maven\r2\myrepository\org\apache\dubbo\dubbo-spring-boot-autoconfigure-compatible\2.7.1\dubbo-spring-boot-autoconfigure-compatible-2.7.1.jar;D:\maven\r2\myrepository\org\apache\dubbo\dubbo\2.7.1\dubbo-2.7.1.jar;D:\maven\r2\myrepository\org\springframework\spring-context\5.1.8.RELEASE\spring-context-5.1.8.RELEASE.jar;D:\maven\r2\myrepository\org\javassist\javassist\3.20.0-GA\javassist-3.20.0-GA.jar;D:\maven\r2\myrepository\io\netty\netty-all\4.1.36.Final\netty-all-4.1.36.Final.jar;D:\maven\r2\myrepository\com\google\code\gson\gson\2.8.5\gson-2.8.5.jar;D:\maven\r2\myrepository\org\yaml\snakeyaml\1.23\snakeyaml-1.23.jar;D:\maven\r2\myrepository\org\apache\curator\curator-framework\4.2.0\curator-framework-4.2.0.jar;D:\maven\r2\myrepository\org\apache\curator\curator-client\4.2.0\curator-client-4.2.0.jar;D:\maven\r2\myrepository\com\google\guava\guava\27.0.1-jre\guava-27.0.1-jre.jar;D:\maven\r2\myrepository\com\google\guava\failureaccess\1.0.1\failureaccess-1.0.1.jar;D:\maven\r2\myrepository\com\google\guava\listenablefuture\9999.0-empty-to-avoid-conflict-with-guava\listenablefuture-9999.0-empty-to-avoid-conflict-with-guava.jar;D:\maven\r2\myrepository\com\google\code\findbugs\jsr305\3.0.2\jsr305-3.0.2.jar;D:\maven\r2\myrepository\org\checkerframework\checker-qual\2.5.2\checker-qual-2.5.2.jar;D:\maven\r2\myrepository\com\google\errorprone\error_prone_annotations\2.2.0\error_prone_annotations-2.2.0.jar;D:\maven\r2\myrepository\com\google\j2objc\j2objc-annotations\1.1\j2objc-annotations-1.1.jar;D:\maven\r2\myrepository\org\codehaus\mojo\animal-sniffer-annotations\1.17\animal-sniffer-annotations-1.17.jar;D:\maven\r2\myrepository\org\apache\zookeeper\zookeeper\3.4.8\zookeeper-3.4.8.jar;D:\maven\r2\myrepository\org\slf4j\slf4j-api\1.7.26\slf4j-api-1.7.26.jar;D:\maven\r2\myrepository\org\slf4j\slf4j-log4j12\1.7.26\slf4j-log4j12-1.7.26.jar;D:\maven\r2\myrepository\log4j\log4j\1.2.16\log4j-1.2.16.jar;D:\maven\r2\myrepository\jline\jline\0.9.94\jline-0.9.94.jar;D:\maven\r2\myrepository\io\netty\netty\3.7.0.Final\netty-3.7.0.Final.jar;D:\maven\r2\myrepository\org\apache\curator\curator-recipes\4.2.0\curator-recipes-4.2.0.jar;D:\北京尚学堂\微服务和分布式\4.Redis\01 资料\idea2018版\lib\idea_rt.jar
2019-08-17 14:20:24.762 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.library.path=D:\jdk8\jdk1.8.0_171\bin;C:\windows\Sun\Java\bin;C:\windows\system32;C:\windows;D:\jdk8\jdk1.8.0_171\bin;D:\Oraclexe\app\oracle\product\11.2.0\server\bin;C:\windows\system32;C:\windows;C:\windows\System32\Wbem;C:\windows\System32\WindowsPowerShell\v1.0\;C:\windows\System32\OpenSSH\;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Program Files\Intel\WiFi\bin\;C:\Program Files\Common Files\Intel\WirelessCommon\;D:\Notepad++;C:\Program Files\MySQL\MySQL Server 5.7\bin;C:\Users\13218\AppData\Local\Microsoft\WindowsApps;;.
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.io.tmpdir=C:\Users\13218\AppData\Local\Temp\
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:java.compiler=<NA>
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.name=Windows 10
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.arch=amd64
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:os.version=10.0
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.name=13218
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.home=C:\Users\13218
2019-08-17 14:20:24.763 [main] INFO  org.apache.zookeeper.ZooKeeper - Client environment:user.dir=D:\IDEA-Workspace\ego_parent\ego_manage
2019-08-17 14:20:24.764 [main] INFO  org.apache.zookeeper.ZooKeeper - Initiating client connection, connectString=192.168.9.128:2181 sessionTimeout=60000 watcher=org.apache.curator.ConnectionState@672b72ba
2019-08-17 14:20:24.824 [main-SendThread(192.168.9.128:2181)] INFO  org.apache.zookeeper.ClientCnxn - Opening socket connection to server 192.168.9.128/192.168.9.128:2181. Will not attempt to authenticate using SASL (unknown error)
2019-08-17 14:20:24.881 [main] INFO  o.a.curator.framework.imps.CuratorFrameworkImpl - Default schema
2019-08-17 14:20:27.827 [main-SendThread(192.168.9.128:2181)] INFO  org.apache.zookeeper.ClientCnxn - Socket connection established to 192.168.9.128/192.168.9.128:2181, initiating session
2019-08-17 14:20:27.838 [main-SendThread(192.168.9.128:2181)] INFO  org.apache.zookeeper.ClientCnxn - Session establishment complete on server 192.168.9.128/192.168.9.128:2181, sessionid = 0x16c9ff24dc20001, negotiated timeout = 40000
2019-08-17 14:20:27.849 [main-EventThread] INFO  o.a.curator.framework.state.ConnectionStateManager - State change: CONNECTED
2019-08-17 14:20:30.045 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.096 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.165 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.256 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.314 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.380 [main] INFO  o.a.d.c.s.b.f.annotation.ReferenceBeanBuilder - The bean[type:ReferenceBean] has been built.
2019-08-17 14:20:30.900 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-08-17 14:20:31.103 [main] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2019-08-17 14:20:31.626 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2019-08-17 14:20:31.669 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2019-08-17 14:20:31.674 [main] INFO  com.ego.ManageApplication - Started ManageApplication in 21.64 seconds (JVM running for 26.449)
